Incident_ID,Month,Day,Year,Date,School,Victims_Killed,Victims_Wounded,Number_Victims,Shooter_Killed,Source,Number_News,Media_Attention,Reliability,Quarter,City,State,School_Level,Location,Location_Type,During_Classes,Time_Period,First_Shot,Duration_min,Summary,Narrative,Situation,GV_Type,Involves_Students_Staff,Targets,Accomplice,Accomplice_Narrative,Hostages,Barricade,Officer_Involved,Bullied,Domestic_Violence,Gang_Related,Active_Shooter_FBI,Multiple_Location,Preplanned,SRO_School,Security_Screening,Screening_Outcome,Shots_Fired,School_Lockdown,LAT,LNG,Campus_Type,Zipcode
20250827MNANM,8,27,2025,2025-08-27,Annunciation Catholic School,2,17,19,1,,999.0,International,4.0,Summer,Minneapolis,MN,K-8,Auditorium,Both Inside/Outside,Yes,Morning Classes,08:27:00,,"Adult with rifle, shotgun, and handgun fired through the windows of the school's church at students who were inside for morning mass",,Indiscriminate Shooting,Active Shooter/Planned Attack,Yes,Random Shooting,No,,No,No,No,,No,No,Yes,Outside,Yes,No,,Outside/Off-Property,99,Yes,44.90459,-93.286622,Multiple detached buildings,55419
20250826MNCRM,8,26,2025,2025-08-26,Cristo Rey Jesuit High School,1,6,7,0,"https://kstp.com/kstp-news/top-news/1-dead-6-injured-in-shooting-next-to-cristo-rey-high-school-in-minneapolis/
https://www.fox9.com/news/minneapolis-mass-shooting-fatal-near-school",8.0,Regional,4.0,Summer,Minneapolis,MN,High,Beside Building,Off School Property,Yes,Afternoon Classes,13:30:00,1.0,Man with AR-15 rifle fired 30 shots on the street behind the school and then fled in a vehicle,"Police say the shooting happened just before 1:30 p.m. near the intersection of 29th Street East and Clinton Avenue, directly behind Cristo Rey Jesuit High School in the city’s Phillips neighborhood. Initial reports indicate a suspect stepped out of a vehicle and fired about 30 rounds from a “high-velocity” .223 caliber rifle at a group of people on a sidewalk along Clinton Avenue before getting into a car and fleeing the scene. Of the seven people who were shot, at least one person was “clearly targeted,” O’Hara said.",Drive-by Shooting,Targeted,Yes,Both,,,No,No,No,No,No,,No,Outside,No,,,Outside/Off-Property,30,No,44.95001,-93.271548,Urban Street Standalone,55408
20250822ILMAP,8,22,2025,2025-08-22,Manual High School,0,0,0,0,"https://www.25newsnow.com/2025/08/22/no-one-injured-after-shots-fired-near-peorias-manual-high-school/
https://www.25newsnow.com/2025/08/23/teen-suspected-firing-gunshots-manual-high-school-had-just-been-suspended-wasnt-aiming-people-says-chief/
https://www.pjstar.com/story/news/local/2025/08/22/juvenile-in-custody-after-shooting-near-manual-high-school-in-peoria-illinois/85783998007/",10.0,Regional,4.0,Summer,Peoria,IL,High,Front of School,Outside on School Property,Yes,Afternoon Classes,14:23:00,1.0,Student who was suspended earlier in the day came back to campus and fired shots at the school building,"Peoria Police Chief Eric Echevarria on Saturday released a statement explaining what authorities believe was the motive for a shooting at Manual High School, which was damaged by the gunfire Friday afternoon. Echevarria acknowledged the incident was “frightening,” but he praised his officers for their quick action, and he pledged to keep a strong police presence at Manual and throughout Peoria Public Schools. The chief said the 15-year-old suspect had been suspended from school earlier in the day, returned with a gun and fired multiple rounds. “Based on what we know, there is no indication that he was aiming at people, only at the structure,” said Echevarria.",Anger Over Grade/Suspension/Discipline,Targeted,Yes,Neither,No,,No,No,No,No,No,No,No,Outside,No,,,Outside/Off-Property,99,Yes,40.679481,-89.633994,Multiple attached buildings,61605
20250822KYMAM,8,22,2025,2025-08-22,Mayfield High School,0,1,1,0,"https://www.wpsdlocal6.com/news/one-injured-in-shooting-at-mayfield-high-school-football-game/article_d2c92a42-6b6d-429d-aa70-75a20cbebf47.html
https://www.whas11.com/article/news/local/football-game-shooting-mayfield-leaves-one-injured-hospitalized/417-7d8948c3-44b4-48f0-9b0e-8639e5589a1d
https://www.wkyt.com/video/2025/08/24/14-year-old-charged-connection-with-shooting-near-ky-high-school-football-game/",20.0,Regional,4.0,Summer,Mayfield,KY,High,Parking Lot,Outside on School Property,No,Sport Event,20:30:00,1.0,Man shot during dispute in the parking lot during a high school football game,"A man is injured after a shooting at a high school football game Friday night. In Mayfield, which is in Western Kentucky, shots were fired near War Memorial football stadium. Police found one adult who was transported to a local medical center, then was later flown to Nashville for treatment. Local 6's Drayton Charlton-Perrin was on scene and said Kentucky State Police and other law enforcement had arrived and had cordoned off the site of the shooting. He said he and others on the scene heard a ""pop"" sound they initially thought was a firecracker.",Escalation of Dispute,Spontaneous,Yes,,No,,No,No,No,No,No,No,No,Outside,No,,,Outside/Off-Property,99,No,36.730095,-88.626894,Multiple attached buildings,42066
20250820TNRIM,8,20,2025,2025-08-20,Riverview Middle School,0,0,0,0,https://www.actionnews5.com/2025/08/20/shots-fired-riverview-middle-school-one-woman-detained-police-say/,1.0,Local,2.0,Summer,Memphis,TN,Middle,,,No,Evening,17:10:00,1.0,Woman arrested after shot fired at the school,"An investigation is underway for an alleged shooting that took place at a middle school on Wednesday evening. According to MPD, the shooting took place at 5:10 p.m. at Riverview Middle School, located on 241 Majuba Avenue. No injuries have been reported at this time, but MPD has one woman detained. This is an ongoing investigation.",,,,,No,,No,No,No,No,No,No,No,,No,,,,99,,35.096211,-90.070873,Single building indoor hallway,38109
20250820MSGUG,8,20,2025,2025-08-20,Gulfport School Bus,0,0,0,0,https://www.wlox.com/2025/08/20/gulfport-teen-15-arrested-after-firing-handgun-bus-police-say/,10.0,Regional,4.0,Summer,Gulfport,MS,High,School Bus,Outside on School Property,Yes,Dismissal,16:00:00,1.0,Student fired shot at school bus after an argument on the bus,"On Wednesday, officials with the Gulfport Police Department announced the arrest of a 15-year-old on gun charges. Officials say that just after 4 p.m. on Monday, August 18, police were called to the area of Turnberry Avenue and George Street after the 15-year-old allegedly fired a handgun in his bus’s direction. Investigators believe the teen had been in an argument on the bus. After shooting, police say the teen left the scene. The teen is currently charged with the following: Possession of a Handgun on School Property, x1, Shooting at a Vehicle, x1, The teen was taken to be held at the Harrison County Adult Detention Center, where he is being held on a $1,000,000 bond set by Judge Diane Ladner.",Escalation of Dispute,Spontaneous,Yes,Victims Targeted,No,,No,No,No,No,No,No,No,Outside,No,,,Outside/Off-Property,1,No,30.446787,-89.04204,,39503
20250820ARROL,8,20,2025,2025-08-20,Rockefeller Early Childhood Center,1,0,1,0,"https://www.nwaonline.com/news/2025/aug/20/employee-of-little-rock-school-fatally-shot-in/
https://www.nwaonline.com/news/2025/aug/20/employee-of-little-rock-school-fatally-shot-in/",20.0,Regional,4.0,Summer,Little Rock,AR,Elementary,Parking Lot,Outside on School Property,Yes,Afternoon Classes,14:55:00,1.0,Teacher fatally shot during domestic in school parking lot,"An employee at the Rockefeller Early Childhood Center in Little Rock was fatally shot in a parking lot just outside the school on Wednesday afternoon, and a man she was in a relationship with was arrested on a capital murder charge in the killing, authorities said. Little Rock police have made an arrest and identified both the victim and suspect after a woman was shot and killed in a parking lot outside the Rockefeller Early Childhood Center on Wednesday afternoon, according to officials. Little Rock police say 29-year-old Duane Nooner was arrested Wednesday evening and is now facing a capital murder charge. The victim has been identified as 36-year-old Michelle Butler of Little Rock. Mayor Frank Scott Jr. confirmed that Butler was an employee of the Little Rock School District. The alleged shooter is in custody, the mayor said. In a statement, Little Rock School District officials called the shooting a tragic, isolated domestic incident that triggered a lockdown of the school.",Domestic w/ Targeted Victim,Targeted,Yes,Victims Targeted,No,,No,No,No,No,Yes,No,No,Outside,No,No,,Outside/Off-Property,1,Yes,34.731889,-92.265251,Single building indoor hallway,72206
20250818NCPAC,8,18,2025,2025-08-18,Palisades High School,0,0,0,0,"https://www.wbtv.com/2025/08/19/arrest-made-after-incident-palisades-high-school/
https://www.wsoctv.com/news/local/palisades-high-school-resumes-normal-activities-after-police-investigation-arrest-campus/RKUKGGJTLFFG7LIX65GFWEXIXA/
https://www.wsoctv.com/news/local/parents-say-upset-athlete-shot-palisades-high-school/CMNHAD7W6ND55F5VWL2KZ6ZW5I/",10.0,Regional,4.0,Summer,Charlotte,NC,High,Beside Building,Outside on School Property,Yes,Afternoon Classes,15:20:00,1.0,Football player fired a shot that hit the school's window after being cut from the football team,"Parents tell Channel 9 that a football player who had been cut from the team fired a gun at Palisades High School. Those parents told Channel 9’s Glenn Counts that the incident began with an upset athlete. They said they heard that a football player, who had been cut from the team, fired a shot at the school’s building.Charlotte-Mecklenburg Schools (CMS) said police arrested a person Monday after an incident at the school, which cancelled on-campus activities. A person who claims they were on-campus Monday, sent WBTV photos of a shattered school window, which appeared to have a bullet hole in it. However, Charlotte-Mecklenburg Schools has not specified what exactly happened, or whether a gun was fired at a school building. Charlotte-Mecklenburg Schools referred WBTV’s questions to the Charlotte-Mecklenburg Police Department, which didn’t provide information because the case involves a juvenile.",Anger Over Grade/Suspension/Discipline,Spontaneous,Yes,Random Shooting,No,,No,No,No,No,No,No,No,Outside,No,Yes,,Outside/Off-Property,1,Yes,35.092163,-81.020997,Multiple attached buildings,28278
20250815NCSOR,8,15,2025,2025-08-15,Southeast Raleigh Magnet High School,0,0,0,0,"https://www.wral.com/news/local/shots-fired-fights-southeast-raleigh-high-football-august-2025/
https://abc11.com/post/shots-fired-football-jamboree-southeast-raleigh-high-school/17552535/",6.0,Regional,4.0,Summer,Raleigh,NC,High,Parking Lot,Outside on School Property,No,Sport Event,21:00:00,1.0,Shots fired during fight between teens at football game,"Shots were fired during a football jamboree at Southeast Raleigh High School late Friday night, police said. According to the Raleigh Police Department, the shooting happened during a series of fights that broke out in the parking lot. Police said the event was being attended by multiple high schools.",Escalation of Dispute,Spontaneous,Yes,Victims Targeted,,,No,No,No,No,No,,No,Outside,No,Yes,,Outside/Off-Property,99,No,35.745353,-78.60449,Single building indoor hallway,27610
20250814GAMEN,8,14,2025,2025-08-14,Meadowcreek Elementary School,0,0,0,0,"https://www.atlantanewsfirst.com/2025/08/15/student-arrested-after-gun-discharged-gwinnett-county-elementary-school-bathroom/
https://www.fox5atlanta.com/news/gun-fired-toilet-gwinnett-elementary-superintendent-responds
https://www.11alive.com/article/news/education/student-allegedly-fires-gun-into-toilet-at-meadowcreek-elementary/85-771a69b5-eb01-4db5-b7d9-6e38c6a9299d",20.0,Regional,4.0,Summer,Norcross,GA,Elementary,Bathroom,Inside School Building,Yes,School Start,08:00:00,1.0,Student fired gun into toilet before classes started,"Watson said the incident came to light on Thursday after administrators learned about a broken toilet in a restroom. School officials said a student admitted to damaging it intentionally. The student was disciplined for the incident. But it was Friday when they learned more information about what happened. ""A parent and several students reported that the same student had brought a firearm to school on Thursday and threatened to use it to shoot the toilet,"" Watson said. ""School police immediately investigated and confirmed the student had taken a gun from home, brought it to school, and discharged it in a toilet before classes began."" No one else was in the restroom, and no one was injured. The student was arrested and will face charges in the case. ",Intentional Property Damage,Targeted,Yes,Neither,No,,No,No,No,No,No,No,No,Single Room,No,,,Failed,1,No,33.921259,-84.166024,Single building indoor hallway,30093
