Incident_ID,Injury,Gender,School_Affiliation,Age,Race
20250827MNANM,Fatal,,Student,8,
20250827MNANM,Fatal,,Student,10,
20250827MNANM,Wounded,,Student,Child,
20250827MNANM,Wounded,,Student,Child,
20250827MNANM,Wounded,,Student,Child,
20250827MNANM,Wounded,,Student,Child,
20250827MNANM,Wounded,,Student,Child,
20250827MNANM,Wounded,,Student,Child,
20250827MNANM,Wounded,,Student,Child,
20250827MNANM,Wounded,,Student,Child,
20250827MNANM,Wounded,,Student,Child,
20250827MNANM,Wounded,,Student,Child,
20250827MNANM,Wounded,,Student,Child,
20250827MNANM,Wounded,,Student,Child,
20250827MNANM,Wounded,,Student,Child,
20250827MNANM,Wounded,,Student,Child,
20250827MNANM,Wounded,,,Adult,
20250827MNANM,Wounded,,,Adult,
20250827MNANM,Wounded,,,Adult,
20250826MNCRM,Fatal,Male,No Relation,Adult,
20250826MNCRM,Wounded,Female,No Relation,Adult,
20250826MNCRM,Wounded,Male,No Relation,Adult,
20250826MNCRM,Wounded,Male,No Relation,Adult,
20250826MNCRM,Wounded,Male,No Relation,Adult,
20250826MNCRM,Wounded,Male,No Relation,Adult,
20250826MNCRM,Wounded,Male,No Relation,Adult,
20250822KYMAM,Wounded,Male,Nonstudent Using Athletic Facilities/Attending Game,Adult,
20250820ARROL,Fatal,Female,Teacher,36,
20250813KYCEL,Fatal,Female,Parent,Adult,
20250807NYCHW,Wounded,Female,Nonstudent Using Athletic Facilities/Attending Game,22,
20250807NYCHW,Wounded,Male,Nonstudent Using Athletic Facilities/Attending Game,21,
20250807NYCHW,Wounded,Male,Nonstudent Using Athletic Facilities/Attending Game,18,
20250731WAPIV,Wounded,Female,No Relation,Adult,
20250715OHSPS,Wounded,Male,No Relation,Adult,
20250715NCWIW,Fatal,Male,Nonstudent Using Athletic Facilities/Attending Game,16,
20250713ILSTC,Wounded,Male,Nonstudent Using Athletic Facilities/Attending Game,17,
20250712TNTYC,Wounded,,Nonstudent Using Athletic Facilities/Attending Game,Adult,
20250712TNTYC,Wounded,,Nonstudent Using Athletic Facilities/Attending Game,Adult,
20250712TNTYC,Wounded,,Nonstudent Using Athletic Facilities/Attending Game,Adult,
20250712TNTYC,Wounded,,Nonstudent Using Athletic Facilities/Attending Game,Adult,
20250712ALWOB,Wounded,Female,Nonstudent Using Athletic Facilities/Attending Game,Adult,
20250712MASOA,Wounded,Male,,17,
20250707OHMAA,Wounded,,,Teen,
20250707OHMAA,Wounded,,,Teen,
20250707OHMAA,Wounded,,,Teen,
20250707OHMAA,Wounded,,,Teen,
20250707OHMAA,Wounded,,,Teen,
20250704NYPUB,Fatal,Male,Former Student,29,
20250629PAKEP,Fatal,Male,Police Officer/SRO,68,
20250627MIDED,Fatal,Male,Nonstudent Using Athletic Facilities/Attending Game,18,
20250627MIDED,Fatal,Male,Nonstudent Using Athletic Facilities/Attending Game,4,
20250627MIDED,Wounded,Male,,17,
20250618CAEIR,Wounded,Male,,Teen,
20250617WALIT,Wounded,Male,Former Student,16,
20250616NJUNS,Non-gunshot Injury,Female,Teacher,Adult,
20250608ORWIM,Fatal,Male,No Relation,26,
20250530NYPSB,Fatal,Male,No Relation,Adult,
20250530MNWAM,Wounded,Male,Relative,19,
20250530MNWAM,Wounded,Male,Parent,49,
20250524OHIPA,Wounded,Male,,17,
20250521PAWIA,Wounded,Female,No Relation,Adult,
20250520DCSPW,Fatal,Male,No Relation,Adult,
20250518UTKEK,Fatal,Male,,17,
20250515PALOP,Fatal,Male,Nonstudent Using Athletic Facilities/Attending Game,18,
20250515PALOP,Wounded,Male,Nonstudent Using Athletic Facilities/Attending Game,17,
20250513ILSTC,Wounded,Male,Student,17,
20250512NYBRB,Fatal,Female,Student,16,
20250509LADOL,Fatal,Male,No Relation,23,
20250507ILWEC,Wounded,Male,Student,Teen,
20250507MILER,Wounded,Male,Student,15,
20250507PAOVP,Wounded,Male,Police Officer/SRO,26,
20250505PAHAA,,Male,Security Guard,Adult,
20250502CAGER,Wounded,Male,Student,15,
20250501NCCAW,Wounded,Male,Student,Teen,
20250430SCRIC,Wounded,Male,Student,Teen,
20250430MABRT,Fatal,Male,No Relation,39,
20250424MSBOM,Fatal,Male,,,
20250424MSBOM,Fatal,Male,,,
20250422NYJOR,Fatal,Male,,19,
20250422CACRS,Wounded,Male,,11,
20250417SCREA,Wounded,Male,Nonstudent Using Athletic Facilities/Attending Game,Adult,
20250415ILCHC,Wounded,Male,Student,17,
20250415TXWID,Wounded,Male,Student,Teen,
20250415TXWID,Wounded,Male,Student,Teen,
20250415TXWID,Wounded,Male,Student,Teen,
20250415TXWID,Wounded,Male,Student,Teen,
20250415TXWID,Wounded,Male,Student,Teen,
20250415TXWID,Non-gunshot Injury,Male,Student,Teen,
20250414NYJOR,Wounded,Male,Student,13,
20250414NYJOR,Wounded,Male,Nonstudent Using Athletic Facilities/Attending Game,17,
20250414TXJAF,Wounded,,No Relation,Adult,
20250414TXJAF,Wounded,,No Relation,Adult,
20250414ILCOC,Wounded,Female,No Relation,39,
20250410TNOVM,Wounded,Female,Former Student,16,
20250409NDWAW,,Male,Student,Teen,
20250409TXWIH,Wounded,Male,Student,16,
20250409TXWIH,Wounded,Female,Student,18,
20250408WALAL,Wounded,Male,Student,Teen,
20250408WASEA,Wounded,Male,Student,Teen,
20250404KSSAS,Fatal,Male,Other Staff,57,
20250402NYVAF,,Male,Student,Teen,
20250402MSSOE,Wounded,Male,Student,Teen,
20250402CACAC,Fatal,Female,No Relation,45,
20250402CACAC,Fatal,Female,No Relation,22,
20250327MIKAK,Wounded,Male,Police Officer/SRO,Adult,
20250327NYPSB,,Male,No Relation,Teen,
20250324TNKIM,Wounded,Female,,Teen,
20250319NCCAW,,Male,Student,Teen,
20250319NCCAW,,Male,Student,Teen,
20250316TXGAG,Fatal,Male,,16,
20250310TNROM,Wounded,Male,No Relation,Adult,
20250307TXHOH,,Male,Parent,Adult,
20250306NCMAC,Wounded,,No Relation,Adult,
20250306NCMAC,Wounded,,No Relation,Adult,
20250304MDLAL,Fatal,Male,Student,16,
20250304TXAKA,Wounded,Male,Student,Teen,
20250304ILPEC,Wounded,Female,Student,15,
20250226OHSAC,Wounded,Female,No Relation,23,
20250226OHSAC,Wounded,Male,No Relation,25,
20250219DEDOD,,Male,Student,16,
20250211OKCOO,Fatal,Male,No Relation,18,
20250211OKCOO,Fatal,Male,No Relation,17,
20250211OKCOO,Wounded,Male,No Relation,Teen,
20250207TXBRF,Fatal,Male,No Relation,Adult,
20250207TXBRF,Wounded,Male,No Relation,Adult,
20250206ALCHH,Non-gunshot Injury,,Student,Child,
20250204NYACB,Wounded,Male,Student,17,
20250201TXPAP,Wounded,Male,Teacher,Adult,
20250131ILDUC,Fatal,Male,No Relation,18,
20250131ILDUC,Wounded,Male,No Relation,26,
20250127WAKEK,,Male,Student,Teen,
20250127INMOS,Wounded,,,,
20250122DCROW,Wounded,Male,No Relation,Adult,
20250122TNANN,Fatal,Female,Student,16,
20250122TNANN,Wounded,Male,Student,Teen,
20250122TNANN,Non-gunshot Injury,Male,Student,Teen,
20250116TNNOJ,Wounded,,Relative,,
20250109UTSPS,,,Student,Teen,
20250108ORMIP,Wounded,Male,No Relation,Teen,
20250108ORMIP,Wounded,Male,No Relation,Teen,
20250102NYDRN,Wounded,Male,Student,17,
20241231CTCEB,Wounded,,,Adult,
20241228PAGRP,Wounded,Male,No Relation,26,
20241228PAGRP,Wounded,Male,No Relation,26,
20241217DCDUW,Wounded,Female,Student,17,
20241216NCALC,Non-gunshot Injury,,Student,,
20241216NCALC,Non-gunshot Injury,,Student,,
20241216WIABM,Fatal,Female,Student,14,
20241216WIABM,Fatal,Female,Teacher,42,
20241216WIABM,Wounded,,Student,,
20241216WIABM,Wounded,,Student,,
20241216WIABM,Wounded,,Student,,
20241216WIABM,Wounded,,Student,,
20241216WIABM,Wounded,,Student,,
20241216WIABM,Wounded,,Teacher,Adult,
20241210NCRJW,Wounded,Male,Student,Teen,
20241204NYCLB,Wounded,Male,Student,17,
20241204CAFEO,Wounded,Male,Student,5,
20241204CAFEO,Wounded,Male,Student,6,
20241126NYHER,Fatal,Male,No Relation,20,
20241125OHWEC,Fatal,,,,
20241125TXPIM,Wounded,,,,
20241122CTJAN,Fatal,Male,Student,16,
20241122DCEAW,Wounded,Male,Student,15,
20241119TNCEM,Wounded,Male,Student,Teen,
20241112ALWOB,Fatal,Male,Student,17,
20241112GATWA,Wounded,Female,Student,Teen,
20241111MDDUN,Wounded,Male,Student,15,
20241109ILHIC,Fatal,Male,Parent,41,
20241107UTWES,Wounded,Male,Student,15,
20241106ILLAC,Fatal,Male,No Relation,41,
20241101ILWIC,Wounded,Female,Student,9,
20241101ILWIC,Wounded,Male,Parent,45,
20241031OHRIP,Non-gunshot Injury,Female,Parent,Adult,
20241027SCBUB,Wounded,,Nonstudent Using Athletic Facilities/Attending Game,Adult,
20241027SCBUB,Wounded,,Nonstudent Using Athletic Facilities/Attending Game,Adult,
20241027SCBUB,Wounded,,Nonstudent Using Athletic Facilities/Attending Game,Adult,
20241025LASTS,Fatal,Male,Nonstudent Using Athletic Facilities/Attending Game,24,
20241022TNCOM,Wounded,Male,No Relation,Adult,
20241022OKREN,Wounded,Female,Nonstudent Using Athletic Facilities/Attending Game,15,
20241022OHEAC,,Male,Former Student,Teen,
20241020OHWAC,Wounded,Male,Parent,Adult,
20241020OHWAC,Wounded,Male,Parent,Adult,
20241018ALSOS,Fatal,Male,No Relation,32,
20241017ORISP,Wounded,Male,No Relation,Adult,
20241017NYISB,Fatal,Male,Nonstudent Using Athletic Facilities/Attending Game,18,
20241012WIMIM,Fatal,Male,Nonstudent Using Athletic Facilities/Attending Game,47,
20241010TXKID,Wounded,Male,No Relation,Teen,
20241010PADOC,Non-gunshot Injury,Female,Other Staff,Adult,
20241007NYCHR,Fatal,Male,,Teen,
20241005FLBLP,Wounded,,,,
20241005INCAI,Wounded,Male,Nonstudent Using Athletic Facilities/Attending Game,Adult,
20241005INCAI,Wounded,Male,Nonstudent Using Athletic Facilities/Attending Game,Adult,
20241005COATC,Fatal,Male,Nonstudent Using Athletic Facilities/Attending Game,29,
20241005CASTB,Fatal,Male,Parent,Adult,
20241002ILEMC,Wounded,Male,Student,16,
20241001CACES,Wounded,Male,No Relation,19,
20240929KYPLL,Fatal,Male,Student,17,
20240929KYPLL,Wounded,Male,Student,Teen,
20240926PAGOB,Wounded,Male,No Relation,30,
20240925NYINB,Wounded,Male,,17,
20240925NYINB,Wounded,Male,,17,
20240924MOCAK,Wounded,,,,
20240924MOCAK,Wounded,,,,
20240924NYSOB,Wounded,Male,Student,15,
20240923KSCEW,Wounded,Female,Parent,Adult,
20240922ILHEC,Wounded,Male,No Relation,15,
20240922PAMAP,Fatal,Male,Nonstudent,16,
20240921GASOA,Wounded,,Nonstudent Using Athletic Facilities/Attending Game,,
20240920LADED,Wounded,Male,Student,Teen,
20240920OHNON,Wounded,Male,Student,16,
20240919GAHAC,Fatal,Male,Student,15,
20240917MNWAS,Wounded,Male,Student,14,
20240912OHTAC,Wounded,Male,Student,13,
20240912DCKIW,Wounded,Male,Student,16,
20240912DCKIW,Wounded,Male,Student,17,
20240910SCRIG,Non-gunshot Injury,,Student,Teen,
20240910SCRIG,Non-gunshot Injury,,Student,Teen,
20240910SCRIG,Non-gunshot Injury,,Student,Teen,
20240910NEOMO,Wounded,Male,Student,15,
20240909TXSOD,Wounded,Female,Student,14,
20240906WVMAM,Wounded,,Nonstudent Using Athletic Facilities/Attending Game,Adult,
20240906WVMAM,Wounded,,Nonstudent Using Athletic Facilities/Attending Game,Adult,
20240906WVMAM,Wounded,,Nonstudent Using Athletic Facilities/Attending Game,Adult,
20240906MDJOJ,Fatal,Male,Student,15,
20240904NYANB,Wounded,Male,Teacher,33,
20240904KYCLC,,Male,Student,Teen,
20240904GAAPW,Fatal,Male,Student,14,
20240904GAAPW,Fatal,Male,Student,14,
20240904GAAPW,Fatal,Male,Teacher,39,White
20240904GAAPW,Fatal,Female,Teacher,53,White
20240904GAAPW,Wounded,,Student,,
20240904GAAPW,Wounded,,Student,,
20240904GAAPW,Wounded,,Student,,
20240904GAAPW,Wounded,,Student,,
20240904GAAPW,Wounded,,Student,,
20240904GAAPW,Wounded,,Student,,
20240904GAAPW,Wounded,,Student,,
20240903NYFAF,Wounded,,Student,,
20240903NYFAF,Wounded,,Teacher,,
20240902MDWHP,Fatal,Male,No Relation,43,
20240902MDWHP,Wounded,Male,No Relation,Adult,
20240830NJPAW,Wounded,Male,Student,16,
20240830NJPAW,Wounded,Male,Student,15,
20240830PAWOC,Wounded,Male,Nonstudent Using Athletic Facilities/Attending Game,Adult,
20240824NYPSB,Wounded,,No Relation,Adult,
20240824NYPSB,Wounded,,No Relation,Adult,
20240824NYPSB,Wounded,,No Relation,Adult,
20240824ILGAC,Wounded,Male,Student,15,
20240824ALCJC,Wounded,,,,
20240824ALCJC,Wounded,,,,
20240822TXFRE,Fatal,Male,No Relation,Adult,
20240819LABOB,Wounded,Male,Nonstudent Using Athletic Facilities/Attending Game,43,
20240819PAOLP,Fatal,Male,Student,16,
20240819PAOLP,Wounded,Male,Student,16,
20240809AZDOD,Wounded,Male,Student,Teen,
20240730ORKLK,Wounded,,Parent,Adult,
20240730OKSOO,Wounded,Male,No Relation,Adult,
20240727OHWAT,Wounded,Male,Student,Teen,
20240727OHWAT,Wounded,Male,Student,Teen,
20240726KYGRL,Fatal,Male,No Relation,Adult,
20240725MSWEF,,,Other Staff,Adult,
20240725MSWEF,,,Other Staff,Adult,
20240725SCJDA,Wounded,Male,No Relation,Adult,
20240721TXGWH,Wounded,Female,No Relation,Adult,
20240717PAEDP,,,Other Staff,Adult,
20240718WATAT,,Male,Police Officer/SRO,Adult,
20240712MDWIU,Fatal,Male,Nonstudent Using Athletic Facilities/Attending Game,24,
20240712MDWIU,Wounded,Female,Nonstudent Using Athletic Facilities/Attending Game,Adult,
20240709CADEF,,Female,Student,Teen,
20240709TXGRG,,,Teacher,Adult,
20240707OHIND,Fatal,Male,No Relation,33,
20240701MDCOB,Fatal,Male,No Relation,20,
20240623PAWAP,Wounded,Male,No Relation,Adult,
20240621SCBRE,Wounded,Male,No Relation,Teen,
20240615MDPOO,Fatal,Male,Nonstudent Using Athletic Facilities/Attending Game,Adult,
20240615MDPOO,Wounded,,Nonstudent Using Athletic Facilities/Attending Game,5,
20240613MABOB,Wounded,Female,Student,18,
20240611OHSOC,Wounded,Male,No Relation,15,
20240606WAGAS,Fatal,Male,Student,17,
20240604FLCEM,,Male,No Relation,Adult,
20240604COMID,Wounded,Male,No Relation,18,
20240603WAKEK,Fatal,Male,Student,18,
20240603ILSAC,Wounded,Male,Teacher,74,
20240603NYPSB,Wounded,Female,Nonstudent Using Athletic Facilities/Attending Game,9,
20240603NYPSB,Wounded,Female,Nonstudent Using Athletic Facilities/Attending Game,11,
20240531MIARS,Wounded,Male,Relative,21,
20240529NYPSQ,Wounded,Male,Student,15,
20240529NYPSQ,Wounded,Female,Student,15,
20240524NMGAA,Fatal,Male,No Relation,Adult,
20240523MAKIC,Wounded,Male,Nonstudent Using Athletic Facilities/Attending Game,Adult,
20240523MAKIC,Wounded,Female,Nonstudent Using Athletic Facilities/Attending Game,22,
20240523OHMAC,Wounded,Male,Student,14,
20240523CASKO,Wounded,Male,Relative,Adult,
20240523CASKO,Wounded,Female,Relative,Adult,
20240523CASKO,Wounded,Male,Relative,Adult,
20240523LAWEH,Wounded,Male,Student,18,
20240522FLNOC,Fatal,Male,Relative,Adult,
20240522NCPUM,Wounded,,,,
20240522NCPUM,Wounded,,,,
20240521MIALG,Wounded,Male,Student,13,
20240519MOCAC,Wounded,,,,
20240519MOCAC,Wounded,,,,
20240518OHMAC,,Male,Other Staff,Adult,
20240518SCBOB,,Male,Relative,Adult,
20240518SCBOB,,Female,Relative,Adult,
20240518OHWIC,Fatal,Male,Student,18,
20240516OHBUC,Non-gunshot Injury,,Student,Child,
20240514INMCI,,Male,Student,Teen,
20240510TXHAH,Wounded,Female,Student,Teen,
20240510VARIR,Wounded,Male,,Adult,
20240508NMSOA,Wounded,Female,Parent,Adult,
20240504NCPAW,Wounded,Female,Student,Teen,
20240504NEOHO,Wounded,Male,,19,
20240503MDANA,Wounded,Male,Student,12,
20240503MDANA,Wounded,Male,Student,12,
20240503MDANA,Wounded,Male,Student,13,
20240503NVLES,Wounded,Male,Nonstudent Using Athletic Facilities/Attending Game,Teen,
20240503DCDUD,Wounded,Female,Student,17,
20240501MIFRM,Wounded,Female,Nonstudent Using Athletic Facilities/Attending Game,18,
20240501MIFRM,Wounded,Female,Nonstudent Using Athletic Facilities/Attending Game,18,
20240501MIFRM,Wounded,,Nonstudent Using Athletic Facilities/Attending Game,Child,
20240501MIFRM,Wounded,,Nonstudent Using Athletic Facilities/Attending Game,Child,
20240430OHGLC,Wounded,Male,Student,Teen,
20240424TXBOA,Fatal,Male,Student,18,
20240423UTGRW,Non-gunshot Injury,,Student,Teen,
20240423UTGRW,Non-gunshot Injury,,Student,Teen,
20240423UTGRW,Non-gunshot Injury,,Student,Teen,
20240422WAWIW,Fatal,Female,Parent,Adult,
20240422FLSUR,Wounded,Male,No Relation,29,
20240421NYISB,Wounded,Male,Nonstudent Using Athletic Facilities/Attending Game,14,
20240419LATIT,,Male,Student,Teen,
20240416TNDUM,Fatal,Male,Student,16,
20240416TNDUM,Wounded,Male,Student,17,
20240413MOBLB,Fatal,Male,Nonstudent Using Athletic Facilities/Attending Game,20,
20240413MOBLB,Fatal,Male,Nonstudent Using Athletic Facilities/Attending Game,19,
20240413MOBLB,Wounded,Male,Student,17,
20240412TXWID,Wounded,Male,Student,17,
20240409NMPER,,Female,Teacher,Adult,
20240403NMLYL,Fatal,Male,No Relation,24,
20240326NJWEN,Wounded,Male,Student,17,
20240326NJWEN,Wounded,Male,Student,15,
20240326NJWEN,Non-gunshot Injury,,Student,Teen,
20240325HIWAW,Wounded,Female,No Relation,21,
20240321NJMAN,Fatal,Male,No Relation,Adult,
20240320OHBOC,Wounded,Male,No Relation,18,
20240320ILBUC,Fatal,Male,,14,
20240319DETHW,Wounded,Male,,17,
20240316TNKEC,Wounded,Female,Nonstudent Using Athletic Facilities/Attending Game,Adult,
20240314OHLOD,Fatal,Male,No Relation,16,
20240314OHLOD,Fatal,Male,No Relation,14,
20240313WAGAS,Wounded,Female,Student,17,
20240313MDWIB,Fatal,Female,No Relation,49,
20240311TXCHT,Fatal,,Nonstudent Using Athletic Facilities/Attending Game,1,
20240307NYPSB,Fatal,Male,,17,
20240305INHAL,Wounded,Male,No Relation,14,
20240304TNBRB,Non-gunshot Injury,Female,Student,Teen,
20240302MONOK,Wounded,,Student,Teen,
20240302MONOK,Wounded,,Nonstudent Using Athletic Facilities/Attending Game,Adult,
20240301LACAC,Fatal,Male,Student,18,
20240228NCWAG,Wounded,Male,No Relation,27,
20240226TXODO,Wounded,Female,Student,Teen,
